zone_name,country_code
ASEAN,VN
ASEAN,TH
ASEAN,ID
ASEAN,PH
ASEAN,MY
ASEAN,SG
North America,US
North America,CA
Oceania,AU
Oceania,NZ
EU/UK,GB
EU/UK,DE
EU/UK,FR
EU/UK,IT
EU/UK,ES
EU/UK,NL
Other,

